repo,url,category,stars,forks,last_updated,primary_language,license_status,quantity_takeoff_fit,pdf_capability,export_integration,commercial_risk,setup_risk,recommendation
Kentucky-ai/opentakeoff,https://github.com/Kentucky-ai/opentakeoff,Calibrated PDF takeoff UI,16,4,2026-07-08,JavaScript,Apache-2.0,High,High,High,Low,Low,Primary candidate to fork or integrate
jsvine/pdfplumber,https://github.com/jsvine/pdfplumber,PDF text/object/table extraction,10518,894,2026-07-08,Python,MIT,Medium,High,High,Low,Low,Use as extraction assist component
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,OCR and document parsing,84988,10983,2026-07-08,Python,Apache-2.0,Medium,High,Medium,Low,Medium,Test as OCR fallback
VikParuchuri/surya,https://github.com/VikParuchuri/surya,OCR layout and table recognition,21054,1513,2026-07-08,Python,Apache-2.0,Medium,High,Medium,Low,Medium,Compare with PaddleOCR
ilirkl/protakeoff-public,https://github.com/ilirkl/protakeoff-public,Desktop takeoff and estimating app,22,12,2026-06-25,TypeScript,README says MIT but no standard license file detected,Medium,High,Medium,Medium,High,Legal and setup review before use
datadrivenconstruction/OpenConstructionERP,https://github.com/datadrivenconstruction/OpenConstructionERP,Construction ERP with takeoff,472,151,2026-07-08,TypeScript,AGPL-3.0-or-later with commercial option,Medium,High,Medium,High,High,Reference or standalone platform only
goodmorningcoffee/BlueprintParser_OS,https://github.com/goodmorningcoffee/BlueprintParser_OS,AI blueprint parsing and auto-QTO,6,0,2026-07-08,TypeScript,Non-commercial source-available,Medium,High,Medium,High,High,Architecture reference unless licensed
jasoncobra3/Floorplan-Dimractor,https://github.com/jasoncobra3/Floorplan-Dimractor,Dimension extraction prototype,6,2,2026-06-15,Python,No standard license file detected,Low,Medium,Medium,High,Medium,Reference implementation only
anngrrr/planparser,https://github.com/anngrrr/planparser,Floorplan object detection,5,0,2026-06-16,Python,Non-commercial,Low,Medium,Medium,High,Medium,Research reference only
sanatladkat/floor-plan-object-detection,https://github.com/sanatladkat/floor-plan-object-detection,Floorplan object detection and CSV counts,128,30,2026-07-07,Python,MIT project; YOLO dependency licensing needs review,Low,Medium,Medium,Medium,Medium,Optional object-count experiment
pymupdf/PyMuPDF,https://github.com/pymupdf/PyMuPDF,Fast PDF extraction rendering OCR annotation,10169,750,2026-07-08,Python,AGPL-3.0 or commercial,Medium,High,High,High,Low,Use only with license strategy
